,typesOrg,number,numberOrg
646,studentenverbindung | turnerschaft,4,2
647,danish district court,4,1
648,daily newspaper,4,1
649,upper house,4,1
650,academic institution | educational institution,4,2
651,academic institution | college | liberal arts college in the united states | private not-for-profit educational institution | school | university | women's college,4,7
652,academic gymnasium,4,1
653,college | school,4,2
654,higher education institution | lyceum,4,2
655,higher education institution directly under ministry of education of the people’s republic of china | public university | university | vice-ministerial level university,4,4
656,high school | university-preparatory school,4,2
657,high school | religious school | university campus | university-preparatory school,4,4
658,hesder,4,1
659,herbarium | organization | university,4,3
660,gymnasium | manor house,4,2
661,group of universities and institutions (france) | university in france,4,2
662,grammar school | voluntary grammar and prep school,4,2
663,grammar school | high school | primary school,4,3
664,government commission,4,1
665,institute of technology | public educational institution of the united states | public research university,4,3
666,institute of technology | local internet registry | public university,4,3
667,historically black college or university | private not-for-profit educational institution | women's college in the united states,4,3
668,historically black college or university | private not-for-profit educational institution | university | university campus,4,4
669,collection | university in quebec,4,2
670,israeli district court,4,1
671,international court | supreme court,4,2
672,interior ministry,4,1
673,labor court,4,1
674,judiciary | supreme court,4,2
675,law review,4,1
676,architectural structure | business school,4,2
677,language regulator | national academy | organization,4,3
678,land-grant university | state university system,4,2
679,land-grant university | open-access publisher | public educational institution of the united states | research i university | university,4,5
680,fraternal organization | religious organization,4,2
681,former entity,4,1
682,boarding school | private school | secondary school,4,3
683,charitable organization | independent school | school,4,3
684,learned society | scientific society,4,2
685,local internet registry | open-access publisher | organization | public university,4,4
686,liberal arts college | state public university,4,2
687,liberal arts college | public educational institution of the united states | university,4,3
688,liberal arts college | private not-for-profit educational institution | school,4,3
689,nonprofit organization | writers union,4,2
690,nonprofit organization | school,4,2
691,national university,4,1
692,national red cross and red crescent society,4,1
693,musical group,4,1
694,federated state | state government,4,2
695,federal university,4,1
696,boarding school | castle | catholic school | day school | nonprofit organization | secondary school,4,6
697,boarding school | boys' school | independent school | school,4,4
698,advisory board | consejo | council of state,4,3
699,administrative agency in norway,4,1
700,open-access publisher | pontifical university | private not-for-profit educational institution | private university,4,4
