,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
69410,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q5750032,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1954.0,1965.0,1925-1949
69411,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q5919410,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1958.0,1969.0,1925-1949
69413,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q6208647,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1955.0,1966.0,1925-1949
69415,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q6228680,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1952.0,1963.0,1925-1949
69416,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q7150084,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1957.0,1968.0,1925-1949
69424,http://www.wikidata.org/entity/Q4772854,http://www.wikidata.org/entity/Q7614780,University of Michigan|University of Michigan Law School,2,http://www.wikidata.org/entity/Q230492|http://www.wikidata.org/entity/Q911830,1925-1949,1958.0,1969.0,1964.0,1975.0,1925-1949
69473,http://www.wikidata.org/entity/Q4773050,http://www.wikidata.org/entity/Q7326384,Bradfield College|Worcester College,2,http://www.wikidata.org/entity/Q4954524|http://www.wikidata.org/entity/Q780745,1925-1949,1958.0,1969.0,1961.0,1972.0,1925-1949
69497,http://www.wikidata.org/entity/Q4776584,http://www.wikidata.org/entity/Q4904587,San Beda College of Law|San Beda University,2,http://www.wikidata.org/entity/Q7413401|http://www.wikidata.org/entity/Q3551584,1925-1949,1959.0,1970.0,1965.0,1976.0,1925-1949
69498,http://www.wikidata.org/entity/Q4776584,http://www.wikidata.org/entity/Q6279283,San Beda College of Law|San Beda University,2,http://www.wikidata.org/entity/Q7413401|http://www.wikidata.org/entity/Q3551584,1925-1949,1959.0,1970.0,1965.0,1976.0,1925-1949
69499,http://www.wikidata.org/entity/Q4776584,http://www.wikidata.org/entity/Q7363082,San Beda College of Law|San Beda University,2,http://www.wikidata.org/entity/Q7413401|http://www.wikidata.org/entity/Q3551584,1925-1949,1959.0,1970.0,1955.0,1966.0,1925-1949
69565,http://www.wikidata.org/entity/Q4786672,http://www.wikidata.org/entity/Q5235027,Trinity College|Eton College,2,http://www.wikidata.org/entity/Q332342|http://www.wikidata.org/entity/Q192088,1900-1924,1940.0,1951.0,1943.0,1954.0,1925-1949
69571,http://www.wikidata.org/entity/Q4786760,http://www.wikidata.org/entity/Q5499186,Columbia University|Columbia Law School,2,http://www.wikidata.org/entity/Q49088|http://www.wikidata.org/entity/Q1149089,1875-1899,1916.0,1927.0,1922.0,1933.0,1900-1924
69577,http://www.wikidata.org/entity/Q4786760,http://www.wikidata.org/entity/Q7153054,Columbia University|Columbia Law School,2,http://www.wikidata.org/entity/Q49088|http://www.wikidata.org/entity/Q1149089,1875-1899,1916.0,1927.0,1921.0,1932.0,1900-1924
69598,http://www.wikidata.org/entity/Q4792234,http://www.wikidata.org/entity/Q6136434,University of Pennsylvania Carey Law School|Temple University,2,http://www.wikidata.org/entity/Q7896088|http://www.wikidata.org/entity/Q1420239,1900-1924,1939.0,1950.0,1934.0,1945.0,1900-1924
69615,http://www.wikidata.org/entity/Q4794884,http://www.wikidata.org/entity/Q5661051,University of Illinois College of Law|University of Illinois Urbana–Champaign,2,http://www.wikidata.org/entity/Q7895523|http://www.wikidata.org/entity/Q457281,1900-1924,1934.0,1945.0,1928.0,1939.0,1900-1924
